customer_id,natural_key,first_name,last_name,email,phone,address_line1,address_line2,city,state_region,postcode,country_code,latitude,longitude,birth_date,join_ts,is_vip,gdpr_consent
45,CUST-53A5QBSW,Taylor,Smith,rortiz@example.net,07.2677.4994,07/36 Douglas Round,,South Heidi,QLD,2670,AU,-39.579590,114.064471,1978-12-16,2024-10-08T04:46:12,false,true
46,CUST-9VIFTTD9,Justin,Davis,denise90@example.net,+61 3 6683 7572,34/6 Andrew Mall,Apt. 708 ,North Andrew,VIC,3977,AU,-39.385521,116.698646,1968-10-24,2024-09-12T10:37:34,false,false
47,CUST-ITN7S55J,Jesse,Smith,kimashley@example.net,+61.8.2922.5125,5 Haley Roadside,43/,Port Codytown,TAS,2930,AU,-39.850576,149.369936,2000-07-20,2024-05-16T00:05:36,false,false
48,CUST-RFTMTTQL,Anthony,Anderson,stephanie13@example.com,+61.7.6309.9900,777 Dennis Promenade,,Wilsonfort,NSW,2682,AU,-37.025016,134.871906,1975-12-15,2024-07-29T01:35:20,false,true
49,CUST-92XF8E8L,Chloe,Cox,guerrerosean@example.org,+61-8-2968-1831,753/72 Herrera Port,,Reillystad,VIC,2921,AU,-35.549606,115.988468,1995-12-29,2024-01-08T05:14:54,false,true
50,CUST-8MYX444N,Samuel,Gardner,lorinorton@example.com,(07).9600.1117,09/1 Yu Terrace,,Amyland,VIC,2943,AU,-36.812826,142.376072,2003-07-16,2024-01-19T22:28:51,false,false
51,CUST-0PDW5PY6,Kara,Nichols,kellerhailey@example.com,+61 7 4083 2349,74/931 Robert Triangle,,Port Kaitlynberg,ACT,6242,AU,-36.038565,123.734711,1988-08-17,2024-08-08T05:18:00,false,true
52,CUST-GVNYRUIW,Robert,West,laura30@example.com,(07).1452.7724,Suite 575 20 Leonard Trail,,East Linda,QLD,2998,AU,-37.331593,147.956341,1996-09-27,2024-05-27T19:54:03,false,true
53,CUST-XPJ4HNRI,Jon,Gordon,keithmartinez@example.net,(02)31130221,45/813 Nolan Line,978/,West Hannahmouth,NT,2607,AU,-38.251881,151.707682,1981-06-27,2024-01-12T23:57:55,false,true
54,CUST-960361I2,Rose,Peters,smithsteven@example.net,08.3960.7527,864 Miller Trailer,,Smithland,ACT,2923,AU,-42.098680,122.025072,1967-04-09,2024-11-17T03:32:15,false,true
55,CUST-U0DK0GET,Kenneth,Robinson,amber84@example.org,03.3853.8193,9 Daniel Quad,10/,Linborough,QLD,2640,AU,-38.691476,148.539479,1969-10-05,2024-05-11T17:32:36,false,true
56,CUST-QC1IYYO4,Aaron,Richardson,ashlee67@example.net,58476892,32 Bird Quays,,Adamshaven,VIC,2679,AU,-43.096971,127.782982,1978-09-22,2024-10-01T04:29:59,false,true
57,CUST-37DIA5U6,Stephen,Whitney,kjackson@example.com,58710838,Apt. 543 117 Anderson Concourse,Suite 384 ,Andersonview,NT,2998,AU,-43.367830,144.954214,1982-02-10,2024-11-28T14:51:56,true,false
58,CUST-EITNN8ZT,Paul,Nash,sabrinacobb@example.com,07 8754 8791,27/418 Harmon Crossing,,Erikchester,NT,2905,AU,-36.734008,147.416551,1963-11-19,2024-09-07T22:24:54,true,true
59,CUST-P84DYT9M,Nicholas,Rivera,xsmith@example.net,8476-0795,47/296 Garrison Walk,,North Brian,WA,2954,AU,-42.101914,116.886389,1995-10-18,2024-02-16T07:43:21,true,true
60,CUST-IEUC1HH5,Richard,Stein,bethmorales@example.net,4814-2071,3 Willie View,,Donaldburgh,NSW,2604,AU,-42.524458,148.021241,1955-04-03,2024-05-21T05:16:04,false,true
61,CUST-5EM2VAJE,Willie,Mendoza,danielle17@example.net,03.1175.7734,Unit 43 03 Lewis Crossway,,Port Heatherbury,QLD,2696,AU,-42.863507,114.542322,1995-03-21,2024-07-04T18:41:11,false,true
62,CUST-06XKXB94,Marcus,Lopez,featon@example.net,+61 468 623 805,Unit 52 8 Fuentes Parklands,86/,Heidiburgh,WA,2694,AU,-42.920382,140.496053,1994-10-17,2024-02-07T02:56:29,false,true
63,CUST-VZNVKSP2,Jay,Estes,jamesreed@example.com,+61759823136,743 Moore Quadrangle,Suite 191 ,East Alexandraport,TAS,2974,AU,-37.452870,147.108249,2004-06-18,2024-04-20T15:39:30,false,true
64,CUST-ODPXNF7C,Matthew,Owens,mpennington@example.com,08-4269-7633,05 Jillian Gully,,Combsview,NT,2644,AU,-43.067699,115.862577,1988-06-06,2024-03-07T20:15:24,false,true
65,CUST-O57P6BKL,Robert,Ingram,david40@example.com,+61.423.789.301,03 English Firetrail,,St. Janice,TAS,2896,AU,-38.925875,118.189207,1998-04-05,2024-04-24T03:56:24,false,true
66,CUST-IPU1WYUV,Gregory,Lopez,oward@example.net,(02).7525.2039,542/244 Kendra Cove,,St. Jessefort,NT,2379,AU,-37.065288,113.158127,1979-07-08,2024-12-25T11:14:59,false,true
67,CUST-XC08DTNQ,Robert,Wood,gheath@example.net,1270.2607,7 Harris Wynd,Unit 50 ,Mooreville,TAS,2948,AU,-40.883626,124.975316,2005-12-02,2024-11-01T03:05:35,false,true
68,CUST-CPPVOHSM,Heather,Moore,jennybrock@example.org,,Level 6 954 Edward Footway,,Monicaport,WA,2951,AU,-37.217821,135.725370,2002-04-10,2024-12-07T11:13:45,false,true
69,CUST-KHEJLA0G,Michael,Hester,glenndebra@example.org,4609-2733,Flat 89 836 Hill Road,71/,Port Jeanne,NT,2930,AU,-36.963287,132.010494,1986-10-10,2024-02-06T14:27:24,true,false
70,CUST-5UUZPEAL,Diana,Hunter,plittle@example.com,+61-434-383-149,Unit 20 713 Bird Pass,Unit 53 ,South Michaelberg,WA,2920,AU,-37.818747,145.281037,1987-06-19,2024-02-15T15:54:00,false,true
71,CUST-OLMLGSES,Betty,Snow,taralopez@example.net,7578.3345,9 Jill Range,Unit 21 ,New Anthonyton,SA,2691,AU,-40.506247,141.095164,1968-04-01,2024-04-30T03:44:34,false,true
72,CUST-XG1R11Q7,Austin,Wilcox,tcarey@example.com,02.6375.9209,4 Louis Spur,,Hallland,QLD,2623,AU,-37.647017,136.980871,1983-05-13,2024-03-18T16:00:40,false,true
73,CUST-CSLQC3C5,Amanda,Williams,roselori@example.org,0476-154-526,Level 8 45 Becker Cutting,,South Apriltown,QLD,2564,AU,-37.849916,132.282713,1996-07-06,2024-10-24T20:10:55,true,false
74,CUST-UGVS8Q34,David,Ramirez,banksheather@example.net,+61 3 3862 2925,3 Brandon Parklands,,Kellyview,QLD,2609,AU,-43.156709,137.845084,1958-07-06,2024-05-06T15:56:17,false,true
75,CUST-7N1YBWML,Hannah,Tate,laceytaylor@example.org,6892.2900,Flat 71 436 Victoria Plaza,Suite 921 ,Fieldschester,WA,2630,AU,-40.134358,122.079831,1968-06-28,2024-06-19T02:58:02,false,false
76,CUST-ZOV7LN23,Cassandra,Castaneda,daisy69@example.org,(03)-2714-1948,683/8 Krista State Highway,,West Ellenhaven,SA,4828,AU,-35.710410,141.550987,2002-03-23,2024-02-17T23:31:15,true,true
77,CUST-8M1G9FK2,Patricia,Blackwell,wevans@example.org,62629465,0 Phillips Gate,,New Kayla,WA,2912,AU,-38.602292,141.545760,2002-03-28,2024-01-20T12:15:40,false,true
78,CUST-GYW6ZBNZ,Joshua,Little,xsmith@example.org,+61-8-6900-2726,32 Derrick Way,,St. Meganbury,WA,2896,AU,-37.894046,142.095647,1995-04-11,2024-04-29T19:26:33,false,false
79,CUST-GYUP12SP,Tyler,Shaw,jennifer34@example.net,0487 964 000,4 Justin Pocket,,West Cynthia,TAS,7233,AU,-42.003023,136.186538,1977-06-06,2024-01-27T23:20:40,false,true
80,CUST-SEDFQS3D,David,George,annabarnett@example.net,+61-468-778-114,65 Garcia View,,Davidfurt,WA,0263,AU,-35.832967,147.385191,1957-05-23,2024-07-31T01:56:20,false,true
